variant,feature_dimension,k,exact_accuracy,base_accuracy
f0_contour,47,1,0.9166666666666666,0.9666666666666667
f0_contour,47,2,0.9166666666666666,0.9666666666666667
f0_contour,47,3,0.9083333333333333,0.975
f0_contour,47,4,0.9166666666666666,0.9833333333333333
f0_contour,47,5,0.9,0.975
f0_contour,47,6,0.9083333333333333,0.975
f0_contour,47,7,0.9,0.9666666666666667
f0_contour,47,8,0.9,0.9666666666666667
f0_contour,47,9,0.8833333333333333,0.9583333333333334
f0_contour,47,10,0.8833333333333333,0.9583333333333334
f0_contour,47,11,0.8916666666666667,0.9666666666666667
f0_contour,47,12,0.9,0.9666666666666667
f0_contour,47,13,0.8833333333333333,0.9666666666666667
f0_contour,47,14,0.8833333333333333,0.9666666666666667
f0_contour,47,15,0.8833333333333333,0.9666666666666667
f0_mean_std,29,1,0.9666666666666667,0.9833333333333333
f0_mean_std,29,2,0.9666666666666667,0.9833333333333333
f0_mean_std,29,3,0.9583333333333334,0.9833333333333333
f0_mean_std,29,4,0.9666666666666667,0.9833333333333333
f0_mean_std,29,5,0.9583333333333334,0.9833333333333333
f0_mean_std,29,6,0.9666666666666667,0.9916666666666667
f0_mean_std,29,7,0.95,0.9916666666666667
f0_mean_std,29,8,0.95,0.9916666666666667
f0_mean_std,29,9,0.9416666666666667,0.9833333333333333
f0_mean_std,29,10,0.9416666666666667,0.9833333333333333
f0_mean_std,29,11,0.9416666666666667,0.9916666666666667
f0_mean_std,29,12,0.9333333333333333,0.9916666666666667
f0_mean_std,29,13,0.9416666666666667,1.0
f0_mean_std,29,14,0.9333333333333333,0.9916666666666667
f0_mean_std,29,15,0.925,0.9833333333333333
no_f0,27,1,0.9666666666666667,0.9833333333333333
no_f0,27,2,0.9666666666666667,0.9833333333333333
no_f0,27,3,0.9666666666666667,0.9833333333333333
no_f0,27,4,0.9666666666666667,0.9833333333333333
no_f0,27,5,0.9583333333333334,0.9833333333333333
no_f0,27,6,0.9583333333333334,1.0
no_f0,27,7,0.9416666666666667,1.0
no_f0,27,8,0.9416666666666667,1.0
no_f0,27,9,0.9416666666666667,1.0
no_f0,27,10,0.9416666666666667,1.0
no_f0,27,11,0.9416666666666667,1.0
no_f0,27,12,0.9416666666666667,1.0
no_f0,27,13,0.9416666666666667,1.0
no_f0,27,14,0.9416666666666667,1.0
no_f0,27,15,0.9416666666666667,1.0
